Code,Name,Officialname,Registration_number,Keph level,Facility type,Facility_type_category,Owner,Owner type,Regulatory body,Beds,Cots,County,Constituency,Sub county,Ward,Operation status,Admission status,Closed
28958,Inclusive Healthcare Medical Centre,Inclusive Healthcare Medical Centre,017090,Level 3,Nursing Homes,NURSING HOME,Private Practice - Private Company,Private Practice,Kenya MPDB,15,0,Nairobi,Roysambu,Roysambu,Zimmerman,Operational,Admitting General & Maternity Patients,No
28966,Canaan Terter Medical Clinic,Canaan Terter Medical Clinic,3229972,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Kenya MPDB,1,0,Samburu,Samburu North,Samburu North,El-barta,Operational,Not Admitting Patients,No
28952,Umoja Springs Medical Clinic Munyaka,Umoja Springs Medical Clinic Munyaka,018780,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Kenya MPDB,2,0,Uasin Gishu,Ainabkoi,Ainabkoi,Kapsoya,Operational,Not Admitting Patients,No
28973,Grapevine Health Care Center,Grapevine Health Care Center,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0,0,Nakuru,Naivasha,Naivasha,Viwandani,Operational,Not Admitting Patients,No
28971,Munga Dispensary,Munga Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Tharaka Nithi,Maara,Mwimbi,Chogoria,Operational,Not Admitting Patients,No
28964,Kotur Dispensary,Kotur Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Busia,Teso South,Teso South,Amukura East,Operational,Not Admitting Patients,No
28942,Mamo Hospital,Mamo Memorial Hospital,1234,Level 3,Medical Center,MEDICAL CENTER,Private Practice - General Practitioner,Private Practice,Kenya MPDB,15,3,Migori,Kuria West,Kuria West,Nyanmosense/Komosoko,Operational,Admitting General & Maternity Patients,No
28928,Lagsure Nursing Home LTD,Lagsure Nursing Home LTD,000579,Level 3,Nursing Homes,NURSING HOME,Private Practice - Private Company,Private Practice,Kenya MPDB,15,1,Mandera,Mandera West,Mandera West,Takaba,Operational,Admitting General & Maternity Patients,No
28935,Tumaini Medicare,Tumaini Medicare,005804,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,1,0,Vihiga,Hamisi,Hamisi,Shiru,Operational,Not Admitting Patients,No
28930,Gatunguru Health Centre,Gatunguru Health Centre,None,Level 3,Basic Health Centre,HEALTH CENTRE,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Muranga,Mathioya,Mathioya,Gitugi,Operational,Admitting Maternity Patients Only,No
28929,Masho,Masho Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,1,0,Mandera,Mandera West,Mandera West,Dandu,Operational,Not Admitting Patients,No
28931,Nyagatugu Dispensary,Nyagatugu Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Muranga,Kangema,Kangema,Rwathia,Operational,Not Admitting Patients,No
28920,Arda Hagarsu Dispensary,Arda Hagarsu Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,3,0,Mandera,Mandera North,Mandera North,Ashabito,Operational,Admitting General & Maternity Patients,No
28921,Gikigie Dispensary,Gikigie Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Muranga,Kigumo,Kigumo,Kinyona,Operational,Not Admitting Patients,No
28922,Ikhavi Medical Centre,Ikhavi Medical Centre,016264,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,10,0,Kakamega,Navakholo,Navakholo,Ingoste-matiha,Operational,Admitting General & Maternity Patients,No
